TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-6,CEQ0175,EPL-AR1-Line1,D1012493,1.9,6171-ASM-00000508,21194-345,21194-345,M1000226,2022-09-30,F1000227 COVID Ag,D1012492,1.3.7902.16339

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
RKAUL,MPAGTAMA,2021-09-21T15:03:01.2199094+10:00,2021-09-21T15:03:13.5617037+10:00,67605264,682532557,2,True,12341,True,FE:EA:81:EF:FD:01,433,True,41,True,2,3035,2910,5554,4498,6308,3173,7861,2026,119,7791,7447,16,True,6756,True,2418,True,-54,FE:EA:81:EF:FD:01,1053,True,2978,4677,4961,284,True,690,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,MPAGTAMA,2021-09-21T15:03:00.0663866+10:00,2021-09-21T15:03:19.2980143+10:00,4294967295,682823606,1,False,19231,False,,19231
RKAUL,MPAGTAMA,2021-09-21T15:03:09.6274992+10:00,2021-09-21T15:03:23.4499697+10:00,67605266,682386318,4,True,13822,True,E8:1C:E2:0B:EC:26,2063,True,5,True,2,3112,3020,5747,4766,8017,3270,9895,2096,790,7580,7665,17,True,6767,True,2341,True,-52,E8:1C:E2:0B:EC:26,1150,True,3051,4766,5057,173,True,680,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,613
RKAUL,MPAGTAMA,2021-09-21T15:03:03.9609436+10:00,2021-09-21T15:03:25.2206084+10:00,67605265,682314450,3,False,21259,True,C7:51:C5:3C:94:1C,338,True,256,True,2,3072,2939,5613,4632,8340,3216,10798,2064,335,6571,7777,1446,True,9215,False,10001
RKAUL,MPAGTAMA,2021-09-21T15:03:18.2200857+10:00,2021-09-21T15:03:37.1148613+10:00,67605267,682532557,2,False,18894,True,DD:17:2D:97:57:8C,430,True,247,True,2,3024,2918,5511,4567,6812,3131,6947,2005,53,7705,7627,1368,False,16847
RKAUL,MPAGTAMA,2021-09-21T15:03:23.9578821+10:00,2021-09-21T15:03:38.3732465+10:00,67605268,682823606,1,True,14415,True,DD:17:2D:97:57:8C,609,True,120,True,2,3062,2932,5607,4642,9670,3184,9355,2058,124,6725,7374,1447,True,6788,True,2418,True,-54,D5:88:A1:83:6B:B7,1440,True,2951,4740,5031,255,True,687,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,643
RKAUL,MPAGTAMA,2021-09-21T15:03:26.9698914+10:00,2021-09-21T15:03:41.2723853+10:00,67605269,682386318,4,True,14302,True,E6:CC:BE:93:69:D4,2135,True,4,True,2,3058,2924,5650,4621,5770,3206,7362,2074,635,6695,7585,15,True,6749,True,2331,True,-52,E6:CC:BE:93:69:D4,1409,True,3117,4877,5138,360,True,678,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,611
RKAUL,MPAGTAMA,2021-09-21T15:03:31.0816836+10:00,2021-09-21T15:03:50.3135002+10:00,4294967295,682314450,3,False,19231,False,,19230
RKAUL,MPAGTAMA,2021-09-21T15:03:40.6893074+10:00,2021-09-21T15:03:54.3588641+10:00,67605270,682532557,2,True,13669,True,D7:CF:7E:6F:87:C8,1141,True,102,True,2,3052,2925,5581,4573,4971,3184,10108,2048,274,7853,7934,751,True,6775,True,2321,True,-53,C9:4D:7D:EC:FD:D1,847,True,3069,4677,4968,435,True,678,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,611
RKAUL,MPAGTAMA,2021-09-21T15:03:43.6777722+10:00,2021-09-21T15:03:57.3373214+10:00,67605271,682823606,1,True,13659,True,D7:CF:7E:6F:87:C8,383,True,214,True,2,3045,2939,5586,4594,4188,3131,8680,1989,12,7132,7197,1370,True,6739,True,2327,True,-53,D2:24:C9:B1:86:BF,1070,True,3146,4675,5037,259,True,678,True,CovidHomeAg,4,N/A ,21194-345,Sponsored,2022-09-30,89.1.608,F1000227 COVID Ag,610
